,timestamp,station_id,ghi,dhi,temperature_2m,wind_speed,precipitation_rate,precipitation_duration
04911,0.0,0.0,19.37,19.34,0.66,0.57,15.79,15.79
04931,0.0,0.0,100.0,100.0,0.34,0.17,81.5,81.5
01503,0.0,0.0,2.24,2.24,1.02,2.21,16.67,16.54
04466,0.0,0.0,0.74,0.72,0.46,0.4,15.94,15.83
15444,0.0,0.0,0.89,0.58,0.37,0.24,16.25,15.84
00880,0.0,0.0,5.95,5.95,0.12,0.02,15.88,15.57
00303,0.0,0.0,100.0,100.0,0.11,0.73,81.5,81.5
05480,0.0,0.0,2.52,2.52,2.26,2.42,17.16,17.16
02497,0.0,0.0,100.0,100.0,0.14,0.04,81.5,100.0
05629,0.0,0.0,47.41,47.41,2.4,2.05,81.5,81.5
03811,0.0,0.0,100.0,100.0,0.57,0.47,85.14,85.14
07369,0.0,0.0,100.0,100.0,0.48,0.53,81.66,81.66
15813,0.0,0.0,100.0,100.0,0.31,0.23,15.69,15.72
02261,0.0,0.0,12.43,12.43,0.29,0.24,15.82,15.71
01078,0.0,0.0,45.13,45.13,1.49,1.36,81.95,81.85
00840,0.0,0.0,100.0,100.0,0.5,0.02,15.68,16.37
05871,0.0,0.0,100.0,100.0,0.65,0.6,22.3,16.14
01550,0.0,0.0,2.14,2.14,0.22,2.37,15.9,15.64
07368,0.0,0.0,100.0,100.0,0.41,0.28,81.66,81.76
01443,0.0,0.0,1.42,1.42,1.19,1.1,15.83,15.87
01766,0.0,0.0,42.08,42.08,0.27,1.26,81.5,81.5
02252,0.0,0.0,100.0,100.0,0.11,0.01,81.67,100.0
05906,0.0,0.0,0.79,0.79,0.57,0.51,16.1,15.75
02856,0.0,0.0,100.0,100.0,0.48,0.38,81.5,100.0
01605,0.0,0.0,41.22,41.22,0.23,0.13,15.69,15.69
02712,0.0,0.0,0.31,0.32,0.29,0.19,15.64,15.57
00704,0.0,0.0,6.85,6.85,0.2,0.11,15.64,15.64
01612,0.0,0.0,18.58,18.57,0.1,0.0,15.57,15.57
02290,0.0,0.0,0.43,0.66,0.16,0.04,15.59,15.59
02483,0.0,0.0,1.31,1.17,0.88,0.68,16.84,16.27
04032,0.0,0.0,100.0,100.0,0.11,0.01,81.5,100.0
05779,0.0,0.0,0.78,1.01,0.34,0.36,15.76,15.76
01975,0.0,0.0,1.57,8.4,0.46,0.85,16.03,15.87
07410,0.0,0.0,100.0,100.0,0.25,0.16,81.51,81.5
03167,0.0,0.0,2.14,2.14,2.44,1.03,16.28,16.09
07395,0.0,0.0,100.0,100.0,1.11,1.31,16.17,16.16
13965,0.0,0.0,100.0,100.0,0.2,0.01,81.6,100.0
02171,0.0,0.0,8.18,8.18,0.66,0.55,15.72,15.72
00591,0.0,0.0,10.51,10.5,0.44,0.45,15.77,15.65
04177,0.0,0.0,0.77,0.77,0.57,0.46,15.95,15.95
06197,0.0,0.0,1.68,3.99,1.44,0.92,16.57,16.48
05792,0.0,0.0,0.4,10.1,0.24,0.48,100.0,15.72
05930,0.0,0.0,100.0,100.0,0.19,0.54,81.52,81.5
02044,0.0,0.0,100.0,100.0,0.18,0.08,81.5,81.5
01544,0.0,0.0,100.0,100.0,0.11,0.0,81.5,81.5
02932,0.0,0.0,0.5,0.5,0.29,0.18,15.58,17.08
00460,0.0,0.0,1.07,1.07,0.86,0.77,16.26,16.26
07351,0.0,0.0,100.0,100.0,1.81,1.92,82.62,82.55
03668,0.0,0.0,0.79,0.43,0.05,0.23,15.72,15.47
03730,0.0,0.0,0.48,0.52,0.23,0.97,15.6,15.58
01587,0.0,0.0,100.0,100.0,0.34,0.38,81.5,81.5
01358,0.0,0.0,0.78,11.19,0.51,0.64,15.62,15.62
00891,0.0,0.0,100.0,100.0,0.85,1.07,81.65,81.7
00161,0.0,0.0,100.0,100.0,0.72,0.63,81.5,81.5
01639,0.0,0.0,2.63,2.63,1.91,2.02,16.36,16.36
05440,0.0,0.0,100.0,100.0,0.12,0.05,15.58,15.58
03987,0.0,0.0,0.37,0.38,0.25,0.04,15.58,15.57
04371,0.0,0.0,100.0,100.0,0.26,0.17,81.41,81.41
03028,0.0,0.0,41.05,41.05,0.62,0.62,16.16,16.06
03761,0.0,0.0,19.63,19.63,0.29,0.49,15.6,15.73
01869,0.0,0.0,100.0,100.0,0.15,0.04,81.75,81.5
07389,0.0,0.0,100.0,100.0,0.19,3.93,81.43,100.0
03402,0.0,0.0,100.0,100.0,0.9,0.6,81.51,100.0
03925,0.0,0.0,100.0,100.0,0.1,0.48,81.5,100.0
03821,0.0,0.0,100.0,100.0,0.8,0.74,81.5,81.5
05397,0.0,0.0,0.35,0.35,0.14,0.05,15.59,15.58
02564,0.0,0.0,100.0,100.0,0.18,0.09,81.51,81.5
04625,0.0,0.0,100.0,100.0,0.13,6.79,81.81,81.81
01262,0.0,0.0,100.0,100.0,0.58,0.59,16.15,15.88
04642,0.0,0.0,69.95,69.92,0.51,0.42,81.57,81.5
00342,0.0,0.0,0.3,0.3,0.1,0.0,15.59,16.27
01757,0.0,0.0,100.0,100.0,0.14,2.86,81.5,81.5
03086,0.0,0.0,100.0,100.0,0.66,0.63,81.39,81.39
02907,0.0,0.0,38.12,38.12,0.47,0.39,16.11,15.87
00656,0.0,0.0,100.0,100.0,0.48,0.62,81.66,81.56
01580,0.0,0.0,100.0,100.0,2.17,2.0,17.05,17.07
03660,0.0,0.0,0.7,0.7,0.48,0.88,15.88,15.87
03032,0.0,0.0,3.36,3.36,0.14,0.05,15.86,15.58
07370,0.0,0.0,0.38,0.57,0.12,0.02,15.61,15.61
04280,0.0,0.0,100.0,100.0,0.53,0.89,81.5,81.5
00856,0.0,0.0,0.51,0.51,0.16,0.2,15.83,15.72
01684,0.0,0.0,0.48,0.46,0.59,0.72,15.57,15.65
03513,0.0,0.0,100.0,100.0,0.31,0.8,81.5,81.5
01270,0.0,0.0,100.0,100.0,0.1,0.11,81.5,81.5
00722,0.0,0.0,100.0,100.0,0.15,0.02,100.0,100.0
00232,0.0,0.0,0.54,0.54,0.34,0.25,15.7,15.69
02667,0.0,0.0,0.75,0.74,0.42,0.48,15.58,15.58
01001,0.0,0.0,100.0,100.0,1.51,1.42,81.71,81.71
03268,0.0,0.0,100.0,100.0,0.1,0.01,81.6,81.5
03287,0.0,0.0,0.58,0.58,0.35,0.44,15.66,15.66
00433,0.0,0.0,100.0,100.0,0.28,0.2,81.73,81.73
01803,0.0,0.0,100.0,100.0,0.11,2.52,81.5,100.0
05538,0.0,0.0,100.0,100.0,0.42,0.66,15.77,100.0
05705,0.0,0.0,1.55,3.91,0.55,0.68,15.57,15.57
06159,0.0,0.0,100.0,100.0,0.11,0.01,81.5,100.0
02878,0.0,0.0,100.0,100.0,0.13,0.05,81.5,100.0
03196,0.0,0.0,100.0,100.0,0.15,0.06,15.75,15.75
04393,0.0,0.0,0.69,1.94,0.47,0.37,16.22,15.87
15207,0.0,0.0,100.0,100.0,0.31,0.12,15.68,15.68
00298,0.0,0.0,100.0,100.0,0.12,0.5,81.5,81.5
07374,0.0,0.0,19.15,19.15,0.1,0.04,15.62,15.57
04024,0.0,0.0,100.0,100.0,1.8,1.74,81.37,81.37
00282,0.0,0.0,20.54,20.58,0.45,0.5,15.77,16.0
02638,0.0,0.0,0.33,0.33,0.1,0.05,15.57,15.57
01420,0.0,0.0,0.75,2.02,0.48,2.49,15.78,15.69
00853,0.0,0.0,36.59,36.61,0.68,0.72,31.89,31.71
05426,0.0,0.0,0.53,0.53,0.33,0.99,16.04,15.61
02601,0.0,0.0,0.88,0.87,0.47,1.59,15.99,15.96
05800,0.0,0.0,100.0,100.0,1.2,1.15,81.55,81.55
15000,0.0,0.0,0.53,0.49,0.21,0.35,15.69,15.69
02961,0.0,0.0,100.0,100.0,4.67,4.6,100.0,100.0
05856,0.0,0.0,0.79,4.44,0.62,0.68,15.65,15.64
03631,0.0,0.0,0.35,1.95,0.13,0.01,15.71,15.57
04036,0.0,0.0,100.0,100.0,0.11,0.0,81.5,100.0
02985,0.0,0.0,100.0,100.0,1.27,1.25,81.5,81.5
05404,0.0,0.0,0.65,2.12,0.39,0.3,15.63,15.64
00867,0.0,0.0,1.48,1.45,1.15,1.29,16.45,16.37
04501,0.0,0.0,100.0,100.0,11.0,1.37,27.23,30.33
07403,0.0,0.0,100.0,100.0,0.56,0.52,81.51,81.51
03897,0.0,0.0,100.0,100.0,0.32,0.33,81.5,81.9
03098,0.0,0.0,0.7,0.7,0.14,0.15,15.84,15.59
00183,0.0,0.0,0.35,0.35,0.11,0.02,15.58,15.57
03166,0.0,0.0,100.0,100.0,0.5,0.4,81.5,81.5
00096,0.0,0.0,100.0,100.0,0.1,1.19,81.5,81.5
03379,0.0,0.0,100.0,100.0,0.42,0.32,15.87,15.86
04094,0.0,0.0,100.0,100.0,0.07,1.02,81.4,100.0
02794,0.0,0.0,100.0,100.0,0.37,0.18,15.58,16.61
04336,0.0,0.0,1.31,1.48,0.52,0.44,15.61,15.61
02023,0.0,0.0,100.0,100.0,0.35,0.5,81.01,81.0
03126,0.0,0.0,48.8,48.8,0.1,0.01,81.5,81.5
05797,0.0,0.0,100.0,100.0,0.14,0.05,81.5,100.0
01357,0.0,0.0,100.0,100.0,0.47,0.36,81.5,100.0
07341,0.0,0.0,100.0,100.0,0.32,0.31,81.51,81.51
01346,0.0,0.0,0.61,0.75,0.34,0.19,15.92,15.57
01759,0.0,0.0,100.0,100.0,0.54,0.44,81.59,81.74
07367,0.0,0.0,100.0,100.0,0.31,0.33,81.4,81.39
00701,0.0,0.0,1.56,1.56,1.22,1.53,15.63,15.72
07394,0.0,0.0,100.0,100.0,0.52,0.43,81.5,81.5
00603,0.0,0.0,100.0,100.0,2.39,2.59,81.67,81.67
07396,0.0,0.0,100.0,100.0,0.44,0.82,15.96,15.96
05158,0.0,0.0,100.0,100.0,0.1,0.82,81.5,81.5
03362,0.0,0.0,100.0,100.0,0.11,0.02,81.5,81.5
01200,0.0,0.0,100.0,100.0,0.33,0.63,81.58,81.58
00691,0.0,0.0,3.54,7.04,1.43,0.59,16.02,16.55
04039,0.0,0.0,100.0,100.0,0.99,9.28,81.51,81.5
03244,0.0,0.0,100.0,100.0,0.11,0.02,81.5,100.0
05109,0.0,0.0,100.0,100.0,0.47,2.65,81.5,81.5
03158,0.0,0.0,100.0,100.0,1.05,0.96,81.6,81.6
14138,0.0,0.0,100.0,100.0,0.0,0.0,97.19,97.19
02014,0.0,0.0,10.69,10.69,1.29,2.18,15.91,15.7
19171,0.0,0.0,100.0,100.0,0.6,0.39,81.91,100.0
05347,0.0,0.0,100.0,100.0,2.11,2.01,83.51,83.51
13711,0.0,0.0,100.0,100.0,0.1,0.0,81.5,100.0
03231,0.0,0.0,0.53,0.53,0.41,0.2,15.92,15.61
02597,0.0,0.0,100.0,100.0,0.89,1.19,15.69,15.87
06314,0.0,0.0,100.0,100.0,0.1,0.02,81.5,100.0
03366,0.0,0.0,1.62,1.62,0.21,0.4,15.88,15.57
02812,0.0,0.0,100.0,100.0,0.1,0.27,81.5,81.5
07412,0.0,0.0,100.0,100.0,0.9,1.26,81.36,81.36
01468,0.0,0.0,1.58,1.58,0.17,3.47,15.79,15.6
05100,0.0,0.0,0.41,2.87,0.11,0.23,15.68,15.57
01694,0.0,0.0,100.0,100.0,0.95,0.01,81.5,81.5
03376,0.0,0.0,100.0,100.0,0.11,0.01,81.5,100.0
04271,0.0,0.0,2.03,2.22,0.48,0.45,15.71,16.51
04104,0.0,0.0,0.36,0.36,0.13,0.2,15.57,15.57
04928,0.0,0.0,2.37,2.38,0.1,0.01,15.58,15.57
03946,0.0,0.0,100.0,100.0,0.59,0.3,81.5,81.5
01832,0.0,0.0,100.0,100.0,1.82,0.69,15.68,15.61
00953,0.0,0.0,1.4,1.4,1.07,0.98,15.74,15.74
05825,0.0,0.0,100.0,100.0,0.61,0.11,15.72,100.0
02115,0.0,0.0,4.88,4.88,0.19,2.75,18.13,15.57
02925,0.0,0.0,0.4,0.41,0.12,0.4,15.79,15.57
05349,0.0,0.0,100.0,100.0,0.1,0.01,15.57,15.78
02485,0.0,0.0,100.0,100.0,1.04,1.08,81.57,81.57
01886,0.0,0.0,100.0,100.0,0.53,2.49,81.5,100.0
01691,0.0,0.0,0.75,0.75,0.31,0.32,16.22,15.6
03093,0.0,0.0,100.0,100.0,0.16,0.05,81.5,81.5
19207,0.0,0.0,100.0,100.0,0.55,0.56,83.72,100.0
04745,0.0,0.0,0.37,0.37,0.14,0.04,15.67,15.61
05490,0.0,0.0,100.0,100.0,1.39,1.29,81.35,81.35
00198,0.0,0.0,100.0,100.0,0.17,0.36,82.2,82.2
05371,0.0,0.0,100.0,100.0,0.37,0.19,15.58,15.58
00662,0.0,0.0,1.57,1.49,0.39,0.97,15.78,15.77
03015,0.0,0.0,0.35,0.35,0.13,0.24,15.58,15.57
02429,0.0,0.0,100.0,100.0,0.38,0.27,81.5,81.5
00963,0.0,0.0,0.55,0.55,0.31,0.25,15.75,15.75
01048,0.0,0.0,0.39,0.35,0.11,0.03,15.57,15.57
00596,0.0,0.0,1.0,1.0,0.35,0.53,15.61,15.69
04464,0.0,0.0,100.0,100.0,0.21,0.65,81.5,81.5
04887,0.0,0.0,76.72,76.71,1.9,1.84,16.24,16.23
03321,0.0,0.0,100.0,100.0,0.0,0.48,83.72,100.0
05029,0.0,0.0,100.0,100.0,0.33,0.29,15.59,15.59
02928,0.0,0.0,100.0,100.0,0.12,0.0,81.5,81.5
05546,0.0,0.0,100.0,100.0,0.92,1.16,81.53,81.53
00164,0.0,0.0,100.0,100.0,0.11,0.0,81.5,81.5
13674,0.0,0.0,100.0,100.0,0.92,0.91,81.3,81.39
05516,0.0,0.0,100.0,100.0,0.21,0.47,81.5,81.5
06344,0.0,0.0,100.0,100.0,0.83,0.93,15.98,100.0
00427,0.0,0.0,37.06,37.06,0.21,0.78,15.58,15.97
06163,0.0,0.0,0.35,0.35,0.12,0.04,16.17,16.15
01303,0.0,0.0,4.82,5.3,0.11,0.28,15.57,15.57
02559,0.0,0.0,0.53,0.52,0.27,0.24,15.7,15.63
05142,0.0,0.0,0.35,0.35,0.11,0.02,15.57,15.57
07393,0.0,0.0,100.0,100.0,0.1,0.01,81.53,81.5
